1,318, 1104, 750, 3451, 1204, 858, 904, 898, 1178, 1217, 951, 48516, 56782, 922, 741, 3275, 246, 1221, 4973, 912, 3468, 5690, 1276, 475, 1248, 720, 7361, 1041, 1199, 1233
2,1204, 1104, 750, 3451, 858, 1178, 2959, 898, 951, 904, 3266, 3468, 1276, 741, 296, 720, 50, 177593, 106642, 1237, 1248, 246, 1217, 1199, 4973, 56782, 1213, 1208, 260, 1221
3,1237, 1104, 5690, 318, 750, 71899, 1178, 3508, 3429, 3507, 3201, 904, 2959, 898, 3451, 246, 48516, 858, 1276, 296, 3435, 1204, 3468, 933, 930, 2324, 922, 1252, 1136, 4973
4,318, 750, 1204, 858, 3451, 1104, 1217, 177593, 50, 48516, 922, 56782, 3836, 246, 3435, 3275, 4973, 1233, 1208, 3468, 1221, 1252, 1089, 1178, 1276, 951, 741, 7361, 5690, 1237
5,1204, 750, 1104, 1178, 898, 3451, 858, 904, 2959, 922, 1217, 1248, 48516, 1276, 3435, 260, 1199, 246, 951, 1208, 912, 3030, 1213, 56782, 1221, 5690, 1136, 1197, 4973, 3468
6,750, 1204, 3451, 1104, 858, 904, 2959, 951, 898, 48516, 1178, 3468, 741, 3275, 922, 1213, 260, 246, 4973, 1276, 1136, 912, 56782, 1221, 1197, 1208, 1217, 1089, 7361, 177593
7,318, 1204, 1104, 898, 3451, 858, 904, 2959, 951, 177593, 296, 741, 930, 1213, 56782, 475, 1178, 3275, 922, 1221, 1197, 912, 1089, 1136, 1199, 106642, 4973, 2571, 246, 1276
8,1104, 750, 1204, 858, 2959, 904, 1217, 1178, 898, 56782, 3468, 741, 951, 246, 48516, 1213, 1199, 3451, 177593, 1208, 1221, 1089, 1136, 1276, 7361, 1041, 922, 260, 912, 4973
9,318, 1204, 1178, 750, 898, 2959, 904, 720, 858, 3275, 1104, 741, 1041, 50, 296, 1233, 1199, 1217, 106642, 38061, 48516, 1136, 1213, 912, 3451, 1208, 162, 914, 1197, 2160
10,318, 3451, 750, 1104, 1204, 858, 1178, 904, 898, 1217, 3275, 48516, 50, 246, 1208, 1223, 1213, 260, 1136, 720, 3508, 1221, 951, 1197, 2019, 2324, 1089, 4973, 3468, 475
11,750, 3451, 1204, 1104, 858, 904, 2959, 898, 1178, 922, 296, 3275, 951, 741, 48516, 720, 50, 1213, 1248, 56782, 912, 246, 1221, 1136, 1089, 260, 5690, 4973, 1208, 1276
12,318, 898, 750, 3451, 1104, 858, 1204, 2959, 56782, 922, 904, 475, 1178, 296, 48516, 3275, 1213, 1221, 1208, 3435, 3468, 260, 50, 2324, 930, 951, 912, 1199, 2571, 1223
13,3451, 1104, 318, 750, 1204, 904, 898, 858, 2959, 3435, 1237, 48516, 71899, 475, 3037, 296, 246, 5690, 1233, 50, 3275, 4973, 1248, 38061, 1213, 260, 1197, 3836, 1221, 56782
14,750, 1178, 1204, 1104, 3451, 858, 2959, 904, 3468, 1276, 951, 1248, 720, 741, 48516, 56782, 246, 50, 1217, 1213, 3275, 1197, 260, 2571, 1208, 2324, 1221, 1199, 1136, 4973
15,3451, 1204, 750, 1104, 904, 898, 951, 741, 177593, 1248, 3468, 48516, 720, 1217, 50, 3275, 1213, 1136, 1221, 3508, 930, 475, 1208, 1276, 922, 1089, 4973, 912, 1041, 1197
16,1204, 3451, 1104, 898, 1178, 48516, 951, 741, 177593, 922, 1217, 3468, 1237, 246, 1221, 475, 3275, 2324, 56782, 5690, 930, 3435, 3030, 720, 908, 3508, 38061, 3037, 1233, 1262
17,1104, 1204, 3451, 898, 1178, 741, 951, 1217, 177593, 1237, 1208, 1136, 246, 3275, 1276, 922, 56782, 475, 4973, 930, 912, 1199, 2324, 720, 7361, 1248, 1041, 3468, 5690, 1223
18,750, 1104, 1204, 3451, 898, 951, 1178, 1217, 741, 922, 246, 912, 1237, 3468, 1197, 56782, 1248, 1199, 475, 720, 1233, 5690, 3435, 930, 3508, 1041, 5618, 2160, 3030, 1225
19,318, 750, 1104, 1204, 3451, 858, 898, 296, 1178, 48516, 951, 741, 50, 922, 246, 1213, 1217, 3275, 56782, 912, 1208, 1221, 475, 1276, 4973, 3468, 1199, 2019, 7361, 5690
20,318, 750, 1104, 1204, 858, 1178, 3451, 904, 2959, 951, 922, 898, 741, 246, 296, 1217, 48516, 3275, 5690, 50, 1213, 1208, 1221, 912, 1136, 260, 2324, 4973, 1089, 56782
21,318, 750, 1204, 1104, 904, 898, 951, 1178, 3451, 741, 1213, 50, 48516, 246, 1237, 177593, 1208, 912, 3468, 1217, 930, 1197, 1276, 1089, 922, 1136, 3275, 1199, 3508, 2019
22,750, 1204, 1104, 904, 898, 3451, 1217, 1178, 296, 720, 50, 106642, 3275, 1221, 1213, 3030, 1136, 260, 741, 1208, 1089, 4973, 3508, 2019, 933, 1276, 177593, 475, 912, 1196
23,318, 3451, 1104, 1204, 898, 2959, 1178, 48516, 246, 177593, 56782, 720, 951, 1276, 3468, 3275, 475, 260, 922, 1197, 7361, 2571, 1041, 933, 2324, 1198, 2329, 5690, 38061, 106642
24,1104, 750, 1204, 858, 3451, 898, 2959, 904, 1178, 741, 48516, 951, 1213, 246, 930, 1136, 1221, 260, 1208, 56782, 1276, 912, 922, 1089, 2324, 1248, 177593, 1217, 1237, 3275
25,318, 1104, 5690, 750, 1204, 898, 858, 3451, 904, 2959, 741, 922, 296, 1248, 3435, 3275, 2160, 1213, 3508, 912, 1041, 50, 1233, 2360, 3037, 3468, 48516, 1217, 933, 1089
26,1104, 318, 750, 3451, 898, 1204, 951, 858, 106642, 930, 904, 3468, 1041, 2959, 1178, 3435, 3508, 2019, 1276, 177593, 741, 50, 1248, 3275, 1136, 720, 1213, 48516, 912, 142488
27,318, 750, 1204, 1104, 858, 904, 1217, 2959, 898, 5690, 296, 246, 741, 48516, 1213, 56782, 912, 50, 1178, 4973, 1248, 1089, 1221, 3468, 1208, 1136, 951, 922, 7361, 1237
28,750, 1104, 1204, 3451, 904, 1178, 951, 177593, 741, 1217, 246, 922, 912, 4973, 720, 2019, 3468, 930, 1237, 1248, 2324, 3435, 5690, 1252, 908, 1041, 3030, 933, 5618, 2160
29,3451, 1104, 2959, 898, 1178, 951, 922, 475, 1237, 177593, 1276, 912, 1217, 1221, 56782, 741, 1089, 2324, 260, 720, 4973, 1199, 3836, 3275, 1233, 246, 3435, 5690, 930, 1197
30,1104, 750, 898, 3451, 858, 922, 1204, 1178, 2959, 951, 904, 246, 296, 1237, 3275, 48516, 1276, 177593, 50, 1136, 1213, 106642, 1217, 1267, 912, 5690, 4973, 1197, 1208, 475
31,318, 750, 1204, 3451, 1104, 858, 922, 904, 2959, 246, 177593, 296, 898, 48516, 1041, 741, 1213, 260, 1237, 50, 951, 1199, 933, 475, 930, 1221, 1217, 1208, 720, 4973
32,750, 1204, 858, 3451, 904, 2959, 898, 922, 48516, 1213, 5690, 1217, 1276, 741, 1208, 3468, 1221, 1178, 1136, 2019, 4973, 951, 930, 1089, 1237, 3275, 475, 177593, 2571, 7361
33,1104, 750, 1204, 3451, 858, 2959, 904, 1217, 898, 1178, 246, 56782, 48516, 3468, 741, 1208, 1276, 260, 1197, 1221, 1136, 5690, 4973, 3275, 912, 951, 1089, 1199, 177593, 7361
34,750, 1204, 1104, 858, 1217, 898, 3451, 904, 3468, 177593, 1248, 1041, 296, 951, 741, 56782, 3508, 1276, 1136, 50, 1213, 260, 48516, 922, 1221, 162, 3435, 3275, 106642, 1199
35,1104, 318, 898, 1204, 750, 1217, 858, 2959, 741, 177593, 904, 246, 3275, 3508, 296, 1136, 3266, 1283, 1178, 48516, 1208, 930, 1197, 260, 1213, 7361, 475, 1089, 1235, 912
36,750, 1204, 1104, 858, 3451, 2959, 1217, 898, 1178, 296, 1248, 741, 1136, 475, 2019, 720, 1208, 50, 260, 1213, 177593, 1221, 1276, 1199, 56782, 48516, 930, 1235, 1089, 1197
37,1204, 750, 741, 1104, 951, 858, 1276, 2959, 904, 3468, 1178, 3451, 5690, 246, 3275, 1267, 48516, 922, 1208, 260, 4973, 50, 1213, 142488, 1136, 2571, 1221, 7361, 4406, 1248
38,750, 1204, 1104, 898, 858, 951, 904, 2959, 3468, 3451, 1217, 922, 741, 48516, 56782, 1276, 1248, 1213, 5690, 912, 1136, 1208, 3275, 4973, 260, 1197, 1041, 720, 1178, 1221
39,318, 1104, 750, 1204, 2959, 904, 177593, 3451, 898, 951, 48516, 1217, 56782, 741, 1178, 3468, 4973, 1208, 3275, 912, 922, 142488, 3508, 7361, 1237, 720, 475, 2019, 1199, 2324
40,750, 1204, 3451, 1104, 858, 904, 2959, 177593, 898, 50, 741, 951, 246, 48516, 56782, 1213, 1178, 3275, 1276, 1136, 930, 1221, 912, 260, 4973, 1208, 1197, 933, 1217, 1199
41,318, 3451, 1104, 858, 1204, 1248, 904, 898, 741, 1221, 1276, 1136, 1217, 177593, 260, 1178, 922, 912, 3275, 246, 930, 1237, 1197, 475, 5690, 2019, 720, 951, 1196, 1199
42,1104, 750, 1204, 3451, 898, 904, 1178, 951, 1217, 720, 48516, 741, 475, 177593, 4973, 56782, 1208, 1136, 922, 930, 1276, 2324, 3275, 1237, 1199, 246, 5690, 7361, 142488, 1041
43,50, 260, 527, 593, 608, 1089, 1136, 1196, 1197, 1198, 1208, 1213, 1222, 1258, 1617, 2329, 2571, 2959, 3147, 1704, 48516, 58559, 112552, 720, 914, 1272, 162, 475, 898, 899
44,1204, 318, 3451, 750, 1104, 720, 858, 2959, 1217, 898, 106642, 904, 1178, 951, 922, 475, 3275, 5690, 1041, 296, 56782, 50, 1213, 48516, 3468, 1208, 4973, 1136, 912, 1221
